编号,题名,作者,作者机构,日期,期刊,专辑,专题,引用数,下载数,关键词,摘要,URL,爬取时间
47,新时期的高校图书馆数字化转型策略研究,何秀全;欧阳剑;张鹏,1. 上海外国语大学图书馆2. 上海外国语大学数字学术中心,2021/8/26 12:23,图书馆杂志,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,34,2128,高校图书馆; 数字化转型; 数据治理; 新文科建设,"近年来信息技术的发展应用进入新时期,""数字化转型""被赋予了全新的内涵,许多行业期望通过数字化转型发展,建立新的商业模式和价值体系。高校图书馆领域在数字图书馆、智慧图书馆建设方面已经成果颇丰,但对新时期的数字化转型研究还比较少,对其内涵和重要性认识不足。文章提出,在新文科建设及十四五开局的大背景下,高校图书馆应及时转变旧的""数字化转型""认知观念,明晰新时期高校图书馆数字化转型的内涵和要求,利用新文科建设和高校信息化统一发展的契机,以数据治理为目标和抓手,建立数字学术服务团队,确立数字化业务的核心地位,实现新时期的图书馆数字化转型。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UAfssDLjMLNYwk33DXRhsYy-WnT7OxcDTUSeFWJzgCDhswx2u_kDdwuuOlgWQ_A2se24AxgkulzfocgQ6z5gR0mOlkHxOUMVcshWgE0vIlhzY4bEEbZ9SzaEQdn6OMfgL9tOk0OalXJg==&uniplatform=NZKPT&language=CHS,2024/6/28
48,基于Citespace的国内智慧图书馆近十年发文热点及前沿剖析,杜蕾;左昊明;李亚设,山东师范大学图书馆,2021/8/25 10:55,图书馆理论与实践,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,23,2697,智慧图书馆; 可视化; 研究热点; 研究前沿,"为了探究国内智慧图书馆领域的研究现状及发展趋势,文章选择2010—2020年中国知网中以""智慧图书馆""为主题的1,680篇文献为研究对象,利用Citespace软件绘制知识图谱。同时,使用内容分析方法对该研究领域的发文量、发文作者、发文机构、研究热点及研究前沿进行剖析。研究发现近十年智慧图书馆的三大热点研究主题为智慧服务与创新、新智能技术应用和新时代图书馆发展模式与路径探析;研究前沿领域为以5G为核心的智能技术在智慧图书馆建设中的应用、""双一流""高校建设与智慧图书馆以及建设策略研究。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XGQ4cEBqnQv7dXIGlACUQrgqL2f0oiN3uvaJnKP5beitaXQdlpTzJVzI1sk2fC5T7Ng1Am1O8mKJYKmOr3lALF6FyzV_d5RwBs-1-BkoA4L56r8lZwv_FlcAIykhREKL5TmdoceNIMTQ==&uniplatform=NZKPT&language=CHS,2024/6/28
49,新兴技术驱动下的研究型图书馆变革——ARL研究型图书馆新兴技术应用报告解读,陈丰松,金华市图书馆,2021/8/25,图书与情报,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,3,293,新兴技术; 研究型图书馆; 转型发展; 北美研究型图书馆协会,"新兴技术引发的科研范式演变深刻地影响了研究型图书馆的发展,成为研究型图书馆转型变革的技术驱动和支撑。2021年4月9日,北美研究型图书馆协会(ARL)发布研究报告《绘制研究型图书馆前景--在科研和学习中利用新兴技术》,提出了未来5年研究型图书馆面临的机遇和挑战。文章通过深入解读该报告,提出在新兴技术背景下,我国研究型图书馆应明确方向,找准定位,扩展资源边界以支持开放科学,加速人才培养为科学研究提供服务,构建基于用户需求的智能化空间的发展策略。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WMQPYW2czRWfFQPvlKsxoe8PjfWcw2DkYAjq0zrSO6je-Jk42NMVi_LvdW8VZUfmKc9nr5GVyu8uR2NcxY_PgrVPFTSOEWo5FA9qXiOBo8tbzpMfjYA84d0IZ1JXQjQP42Siu1KamIPQ==&uniplatform=NZKPT&language=CHS,2024/6/28
50,数智时代高校图书馆面向新文科的学科数据服务研究,郑金萍,太原师范学院图书馆,2021/8/25,图书与情报,信息科技,图书情报与数字图书馆,18,1626,数智时代; 高校图书馆; 新文科建设; 数据服务,"面对新文科建设需求,高校图书馆需要主动进行服务创新来回应数智时代新文科建设的呼唤,承担起新时期高校图书馆的新使命。文章梳理了学科服务到学科数据服务的发展演进过程,并依据数据生命周期理论构建了""大数据+小数据""的学科数据服务模式,进而提出相应的实施策略。文章认为,数智时代的高校图书馆要树立大数据思维理念,根据新文科建设需求重塑图书馆学科服务模式,提供高效、精准、专业的学科数据服务,全面提高学科数据服务的服务层次和质量。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UXwVKLYlMTwduJq7MWENuKQEfaPrzUNNJVUERy8dMVOYzxdLv7egsWg6EvaOD4VmyZE_T9hpwbu1S3rtsDVtQ-ZLmfnx4JYT9PFiWmxRsvp-IF_Yk7arVWaR7eD8KoiZZMpoiBf9DuYg==&uniplatform=NZKPT&language=CHS,2024/6/28
51,国内外图书馆信息资源建设研究热点对比分析,冉从敬;李旺;宋凯,武汉大学信息管理学院,2021/8/20,新世纪图书馆,信息科技,图书情报与数字图书馆,6,1735,图书馆; 信息资源建设; Vosviewer; LDA模型,"论文以Web of Science和CNKI数据库作为数据来源,利用LDA模型和Vosviewer分析国内外图书馆信息资源建设研究的主题分布。通过对比发现国内图书馆在信息资源建设程度、信息资源建设方向、信息资源服务水平方面与国外存在较大差距,针对国内图书馆信息资源建设研究存在的不足,论文从推进""全民阅读""工程、制定馆藏发展政策、加强图书馆馆员队伍建设、加强数字化智慧图书馆建设、提升图书馆学科服务水平等方面提出国内信息资源建设的发展策略。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8V8ytAaK5hWjlFhjZp_Egr2WtLgt53AGUaBvra8sGvO0A62IGbyKahUY66AAsQM1P3ensZsj7qc5etR1A52MxNZMaAjrazGk-FiVvkbqtNyd7PuRw-Irj2_xjjTtcM1r3ZRLCqEhD69mg==&uniplatform=NZKPT&language=CHS,2024/6/28
52,“新工科”背景下人工智能专业核心实验教学项目设计,樊超;杨铁军;侯慧芳;母亚双;赵玉娟,河南工业大学人工智能与大数据学院,2021/8/19 16:48,实验技术与管理,基础科学;社会科学Ⅱ辑;信息科技,高等教育;自动化技术,25,1321,新工科; 人工智能; 实验教学; 考核方式,"面向""新工科""背景下人工智能专业复合型、工程型人才培养的实际需求,以专业课程体系和课程目标为依据,研究了人工智能专业核心课程和专业综合设计课程的实验项目设置。进而基于工程教育的OBE理念,设计了分阶段、多元化的实践教学考核体系,旨在加强学生对核心课程知识的理解与应用,培养学生的实际工程能力和工程素养。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8W37CagxLlgkx3GVRzHJHPJJ7KXnbJfEV3XvLw6xgSJtOisDhPqQlpKJnnXgk8cJ3CzWuPy0mScFDCVCscGG1c_wH-puOnSofcK1k1ntLvm_BQW45puo0tbfbiVNFDxXjA2kS9ACz02hg==&uniplatform=NZKPT&language=CHS,2024/6/28
53,数字图书馆智能阅读场景的构建,梁艳玲,信阳师范学院图书馆,2021/8/15,出版广角,信息科技,图书情报与数字图书馆,13,501,数字图书馆; 智能阅读场景; 场景五力,"""场景五力""理论重视对用户行为、情感的分析和感知,以此为用户提供适应性服务。在数字图书馆智能阅读场景的构建中,需要应用移动设备、定位系统、大数据等技术,这几项技术也成为构建智能阅读场景的关键因素。在5G与AI相融合的时代背景下,数字图书馆可以运用上述关键技术,构建智能阅读推荐、智能阅读导航、智能阅读咨询、智能阅读检索、智能阅读场景、智能预约座位等个性化服务。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WJI18PXuOeCeY9FBhBIU0IkrWm-f4lGhqnJq50pjnwZaavvQOKQlLpZJ5OC-izD4PPXkM_2HFcgTlCifvOxgJkkkpyUM8qU4bLvsR3PKYUZRFpQGDVsnvvhyNfVgtUwGPS0rSy7-iwhg==&uniplatform=NZKPT&language=CHS,2024/6/28
54,5G物联网技术驱动下高校真人图书馆服务创新策略研究,徐晓峰,武汉体育学院图书馆,2021/8/15,图书馆工作与研究,信息科技,图书情报与数字图书馆,10,816,真人图书馆; 服务创新; 5G物联网; 高校图书馆,"通过论述5G物联网技术赋能高校真人图书馆服务创新的可行性,构建了5G物联网技术驱动下高校真人图书馆服务创新理论框架,据此提出旨在提高真人图书征集效率、促进服务主客体间全媒体交互、增强资源推荐情境适配程度的高校真人图书馆服务创新策略。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UeCaudOCalAUcaSFJsFp7OeiTyvZqUX74ayMTq3RRXoB3w-f6g_oXXJVS_5kxT4ukyuVV494pYVV9p87wkdAjybNAmiTtwsavG8WBdD3xE2i1xu6V5ng4cJ6AO8Wqqn3unZuAB2CnRvg==&uniplatform=NZKPT&language=CHS,2024/6/28
55,基于用户感知的智慧图书馆空间评价研究,杨文建;邓李君,1. 重庆第二师范学院图书馆2. 四川外国语大学图书馆,2021/8/15,图书馆,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,29,1669,智慧图书馆; 用户感知; 空间; 评价体系,"智慧图书馆是图书馆转型发展的重要趋势,也是融合了人工智能、移动通信、物联网、数字技术等众多创新技术的图书馆新形态。文章从人、资源、空间的角度论述用户感知智慧图书馆空间价值的具体影响因素,并从加强智慧图书馆空间建设、管理、服务等视角入手提出空间评价体系构建策略,以期促进智慧图书馆空间评价体系研究。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Ui74zFeAdeXyHoJ3blJUsBZblceFMyNRvUMkAp_CtyRz8GZ5YJrHGfswJlQbL5QLe1vNLYNVjatimXfmj0i-0piTNHIHAWbyFRp9s2jOawYyA-bs8CD2wIevcs03BAHqKaKvNSKFVm7w==&uniplatform=NZKPT&language=CHS,2024/6/28
56,“云数智”融合视域下孪生图书馆应用情境模型与生态体系构建,任萍萍,哈尔滨理工大学图书馆,2021/8/13 10:14,情报理论与实践,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,24,1502,数字孪生; 智慧图书馆; 孪生图书馆; 应用情境; 生态体系,"[目的/意义]在国家深入推进创新驱动发展和""云数智""赋能时代背景下,数字孪生作为基于信息流模型驱动的全产业价值链协同的实时虚拟映射系统,是影响工业4.0实现的重要核心技术与效能提升工具。数字孪生与智慧图书馆的深度融合将赋能5G/6G时代未来图书馆的智能应用变革,全域全要素将在虚实共生空间实现多维度全息交互与智能协作,高效实现智慧服务的全域仿真管控与过程预测分析。[方法/过程]通过系统梳理数字孪生相关理论研究、发展历程与最新态势,提出孪生图书馆的定义与典型特性,设计构建面向全周期管理的数字孪生图书馆赋能闭环生态体系,并提出其应用情境与对策建议。[结果/结论]依托全域资源标识、精准状态感知、智能模型决策与精准过程执行,实现孪生图书馆""数据—模型""双驱动与多元智能运行服务模式的全新升级,开拓未来智慧图书馆转型发展新格局。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Ui74zFeAdeXyHoJ3blJUsBZblceFMyNRtnkCPoDsTc92S31P7Im6W48dR3SBZM2093W4ogCPBoZk7qimpw82yvc2n-tYQIJf69cJscCyjKlfhUSjcG1goulsFSm1DivzPwDHPB6ZgIwA==&uniplatform=NZKPT&language=CHS,2024/6/28
57,智慧图书馆数据标准体系研究,卢小宾;洪先锋;蒋玲,1. 中国人民大学信息资源管理学院2. 中国人民大学图书馆3. 中国人民大学评价研究中心,2021/8/3 8:33,图书情报知识,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,34,2201,智慧图书馆; 数据体系; 数据标准体系; 大数据; 数据生命周期,"[目的/意义]对智慧图书馆建设中的数据标准体系展开讨论,以期从数据标准化的视角探讨智慧图书馆在经历概念辨析、体系构建、模式创新后的""智慧""落地问题。[研究设计/方法]以智慧图书馆视域下的数据标准体系为研究对象,结合大数据理论和数据生命周期理论提出智慧图书馆数据标准体系,并通过质性分析方法对标准体系框架搭建和内容建设展开讨论。[结论/发现]智慧图书馆数据标准体系建设的关键在于充分融合图书馆内的资源数据、管理数据和用户数据,围绕数据生命周期模型构建科学的体系框架,同时从组织性数据标准、管理性数据标准和使用性数据标准三个方面深化标准体系的内容建设。[创新/价值]从标准体系研究的视角,结合智慧图书馆大数据环境和数据生命周期模型,构建了智慧图书馆数据标准体系框架,就标准体系内容建设展开深入分析,相关结论能够为我国智慧图书馆数据标准体系建设提供参考。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XM3c05OrcOZpPSTn2jqgpY0eJ2IOzgx7TUppRwdhgNveO8pD3lVivTfWFrtE8dy56qrAbo68WRGo41_VFBH0XzLqOtKsD_rAFVrDVvVMqGjYTdO2ISuDiwGS7Tt708x1F2iJpCLrsfoA==&uniplatform=NZKPT&language=CHS,2024/6/28
58,国内智慧图书馆研究与实践进展,石婷婷;徐建华,南开大学商学院,2021/7/25,图书馆学研究,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,18,1955,智慧图书馆; 图书馆建设; 智慧服务,"智慧图书馆是图书馆发展的高级阶段,2010年以来,我国智慧图书馆的理论研究与实践进展都取得较大进步。通过内容分析为主、实践举例为辅的方法,对相关文献进行归纳分析,系统梳理我国智慧图书馆的理论研究和实践进展,从智慧图书馆的界定、智慧图书馆建设、智慧服务、智慧图书馆评估4个方面进行综述。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UGw6gBArtt4JvEjFF5_KzHH2nzMEJjCBI6DCBDZIIHC66E6QnQVTAj23ku7EoTGCG252oI8l-k4p3PMD43qiZWO1N2XMvDtJedvC8WJzHgzAqtLfYvbWrwtK0UT7lbpZPCTsEQ4_KXqg==&uniplatform=NZKPT&language=CHS,2024/6/28
59,在“乌卡”环境中驾驭变化——《2020学术图书馆发展趋势报告》重点解读与拓展思考,聂华,北京大学图书馆,2021/7/21,大学图书馆学报,信息科技,图书情报与数字图书馆,21,1529,乌卡; ACRL趋势报告; 领导力; 学术图书馆; 高校图书馆,"针对当前高校和学术图书馆所处的外部环境,引介""乌卡""概念和乌卡环境特点,以此为背景对美国大学和研究型图书馆协会(ACRL)发布的《2020学术图书馆发展趋势报告》列出的九大趋势进行解读。在此基础上,重点聚焦中国高校和学术图书馆关注度较高、适宜性较强、研究储备和实践储备均较充分的几个趋势,包括""领导力培养""""图书馆系统演化""""机器学习与人工智能""""开放获取""""研究数据""等,介绍国内高校和学术图书馆的相关现状和进展,探析其在乌卡环境下的发展策略,以期为其在乌卡环境中驾驭变化、重构未来提供方向性思路和参考。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UGw6gBArtt4JvEjFF5_KzHH2nzMEJjCBJqgLbtzeycqHB1ZT37mmGFgppUmpUl_O0iISm7JEhMbDVt3Zn4rdLHY9Ex20cNSj4uzI1y8SFlYaxWgpWiKk_5W08gL7hqxNTJBHHNQRyCFQ==&uniplatform=NZKPT&language=CHS,2024/6/28
60,文化大数据与智能设计平台综述,刘芳;王遵富;梁晓婷,湖南大学,2021/7/20,包装工程,工程科技Ⅱ辑;信息科技,计算机软件及计算机应用,10,1107,文化大数据; 多源异构融合; 人工智能; 智能设计; 平台架构,"目的基于对文化大数据平台和智能设计平台的发展现状研究,阐述多源异构融合文化大数据平台建设面临的挑战,提出文化大数据智能设计平台的系统架构,在传承和保护文化的同时,探索文化数据在设计领域的再开发与再利用。方法通过对相关文献的收集、整理和分析,了解文化大数据平台和智能设计平台的国内外研究进展,综合对比分析其技术原理、研究难点与挑战,并提出文化大数据智能设计平台的基础架构。结论文化大数据平台的发展促进了文化的保护利用,但是仍存在利用率低、使用较困难等问题;人工智能技术在设计领域的应用,为设计学科引入了新的设计方法和路径,可以有效提升设计效率与质量,但当前的智能设计工具及平台仍然存在功能较为单一、缺乏灵活性等问题,有待进一步提升;文化大数据智能设计平台的研发,可以提升文化大数据的利用效率,探索文化大数据在设计不同阶段、不同方向的应用,提升设计作品的文化底蕴与质量。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Xgjm92CKF_6UgmoVDiDqXD1AicuZueQP10_EzbXubzesiolYY0SApFAxx4NZjYIh51BTJhEm9dbze6N7vkwge0jf6x-INA-3h44B3pqurh_YRQlQdYwxCTXSD31E8V5FCP4K9rz-8tmQ==&uniplatform=NZKPT&language=CHS,2024/6/28
61,后评估时代智慧图书馆发展与评估研究,胡娟;柯平;王洁;卢晓彤,南开大学商学院信息资源管理系,2021/7/17,情报资料工作,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,22,1303,图书馆评估; 后评估时代; 智慧图书馆; 评估创新,"[目的/意义]我国公共图书馆事业在第六次全国公共图书馆评估定级工作的推动下,取得了实质性进步。后评估时代,我国学者对智慧图书馆的研究日益深入,实践工作也取得了一定成果。智慧图书馆评估研究对当前智慧图书馆建设中的自评和下一次全国性公共图书馆评估具有重要的理论与实践意义。[方法/过程]文章通过文献回顾归纳了智慧图书馆的概念和要素,梳理了智慧图书馆相关研究成果和实践工作,总结出当前我国公共图书馆智慧化发展的三种模式,并对智慧图书馆评估问题展开了讨论。[结果/结论]在总结智慧图书馆概念、核心要素和相关研究的基础上,归纳了智慧图书馆实践发展的三种模式,并讨论了智慧图书馆的评估环境、评估维度与原则以及评估要点。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8X-Bg4BMIMc_sTljLFHx3TX9FfWwbjt12aT8G-rVCCtXm0AeC1pYESG81GuMMdUDlXoxDjdaSTPHRSX87hof3w3nVZmtXyD8QAw4pMFCqjc9J6cgm-JjxT0-alt8jJJWmEkJ2FmeFCmyw==&uniplatform=NZKPT&language=CHS,2024/6/28
62,图书馆高质量发展的赋能机制,柯平;彭亮,南开大学商学院信息资源管理系,2021/7/15 14:01,中国图书馆学报,信息科技,图书情报与数字图书馆,67,3965,图书馆; 高质量发展; 授权赋能; 数字赋能; 知识赋能; 智慧赋能,"在国家高质量发展的新环境下,图书馆事业进入一个新的发展阶段,高质量发展成为图书馆学和图书馆事业的一个新主题。围绕图书馆如何实现高质量发展,亟待解决其路径问题。本文认为,图书馆高质量发展仅仅依靠传统的优化方式难以实现,必须创新机制,解决发展的驱动力问题;图书馆高质量发展不仅要求管理、资源和服务等某一要素实现高质量发展,而且要求图书馆整体实现高质量发展。本文引入赋能新概念,从两大分析视角探讨图书馆高质量发展的赋能机制:从组织管理分析视角,通过授权赋能培养赋能型馆员和管理者;从技术发展分析视角,通过数字赋能支撑信息资源的大数据化和信息服务的精准化,通过知识赋能推动知识资源的传播广度和知识服务的嵌入深度,通过智慧赋能促进智慧资源的体验化和智慧服务的引领性。图书馆高质量发展的赋能机制不仅为图书馆发展理论提供参考借鉴,同时也为各类型图书馆实现高质量发展提供实践指导。图1。表1。参考文献55。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WipCV3TqEv8Q4P2zlh8guC2JT0rke7h_IEjZ9jqRXjBh_Lft2rj5fmYL6NaCzVNqbKJSFGvvEvC-d9hUoT4ZtVlqQ_PuKg5WU_sy6TDxBSvUKXWoto8R8rrNDDgB_vNeJpNXDIfDreZQ==&uniplatform=NZKPT&language=CHS,2024/6/28
63,情境感知与智慧图书馆服务重塑研究,杨文建,重庆第二师范学院图书馆,2021/7/15,图书馆工作与研究,信息科技,图书情报与数字图书馆,11,781,智慧图书馆; 情境感知; 情境; 服务; 人工智能,"智慧图书馆可以通过融合情境感知提升用户服务、空间服务、资源服务等方面的效能。本文对情境感知的相关理论进行了梳理,分析了其在智慧图书馆服务中发挥的作用;在此基础上,结合智慧图书馆的服务重塑需求,从完善智慧图书馆系统、优化智慧图书馆服务内容、拓展智慧图书馆多元服务、改善空间情境感知服务、提升网络情境感知服务、拓展智能情境感知服务等角度,提出了基于情境感知的智慧图书馆服务重塑建议。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8W4Tknn-TmFfv2yj2hpDj1eCtOzjGPBYxeIzihphKRWbgJhW0dXxRFI_6FTovqctn8eK_JxTH9N1nQMh4zhc2oCjiXfbfrN0gRDqxMbDR7QNv9wNEp2WxpyY1FuK5O5JLPeepF-w3hHvQ==&uniplatform=NZKPT&language=CHS,2024/6/28
64,后疫情时代高校图书馆资源体系建设方向与路径选择,李强;鲍玉来,福建工程学院图书馆,2021/7/15,图书馆工作与研究,信息科技,图书情报与数字图书馆,17,1208,高校图书馆; 后疫情时代; 资源体系; 资源建设,"常态化疫情防控为高校图书馆带来了诸多影响,后疫情时代高校图书馆如何进行资源体系重构以适应常态化疫情防控要求,是当前高校图书馆亟待探索的课题之一。本文对部分""双一流""高校图书馆应对疫情的举措以及图书馆业务调整情况进行了调研,分析疫情防控对高校图书馆资源体系的影响,并从信息资源、人力资源、空间和设施资源等维度,探索了后疫情时代高校图书馆资源体系重构的建设方向与实施路径。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XwSRjJE9O4IWV7EdhqBVh1FhqS1btd_KF9hlu0H__VWcyMlGYDLIaTOZxRlMG8qM4ZHG8oCpEp1IHraTVpKgpUfbG_QrulLkXBBVor2NUcHXXdryGSjZKV-C19q25EKjGFu9p5OJkKPQ==&uniplatform=NZKPT&language=CHS,2024/6/28
65,教育中的技术伦理审思:历史、问题与对策,陈炜;李强,1. 南通大学教育科学学院2. 南宁师范大学教育科学学院,2021/7/15,南通大学学报(社会科学版),社会科学Ⅱ辑,教育理论与教育管理,16,884,技术伦理; 知识产权; 数字鸿沟; 安全性; 私密性; 人工智能,"尽管从技术伦理的角度开展教育研究一直没有得到足够的重视,但随着科学技术的飞速发展和教育信息化进程的积极推进,目前其正在成为研究和探索的热点领域。首先,需要探析技术伦理成为教育研究视角和话题的端倪,解释技术伦理在教育发展过程中的角色和地位。其次,需要详细回顾教育与技术伦理相逢乃至融为一体的历史,包括技术与伦理的不期而遇、教育面临的技术伦理挑战,以及教育中技术伦理的逐渐涌现。再次,作为新兴领域,当前教育中的技术伦理已经形成众多热门研究主题,包括知识产权问题、网络无障碍问题、数字鸿沟问题、安全性与私密性问题以及人工智能伦理困境问题,业界需要对此进行积极的回应。最后,总结教育中的技术伦理发展现状,分析存在的问题和面临的发展机遇,并对其未来的挑战提出有针对性的因应之策。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8V4b0_gkG00UksZuI31PVtodGUIY6pzH5HNXSvSlnXKu7zpcMJ4s4nnC9I3jJ9u2Sgo1d7aDEy1IBAxlJ9oG00yZGE6lvxxNbeNqzHRCxqnkrpaMjrpkmaApsIy2iJ-cVMWW9wGxX3PYA==&uniplatform=NZKPT&language=CHS,2024/6/28
66,基于感知示能性理论的智慧图书馆构建与服务研究,陈启明;白如江;王效岳,山东理工大学信息管理研究院,2021/7/15,图书馆学研究,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,11,892,智慧图书馆; 示能性; 感知示能性; 用户服务,"图书馆是城市文化服务的标志,智慧图书馆是图书馆面向智慧社会建设的必然选择。当前,智慧图书馆进入""用户智慧服务""发展阶段,从用户视角思考,引入人机交互领域的示能性理论,运用扎根理论方法,从感知物理示能性、感知认知示能性、感知控制示能性、感知情感示能性、感知服务示能性五个维度构建智慧图书馆在用户智慧服务研究中的感知示能性理论框架,基于此框架内容为智慧图书馆在用户智慧服务的发展提供理论借鉴和建议。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WlIYVLGwbAREVIn4UcBg8zEgjvC9qTTJRab0FMcHOw8GfS9MAbmV7QoCS7yYeRgk72Pmb4Tv-A3tWZfQfzKjFIYwL2ZCGbwItDJqA9KH4dGy_GjhksfUsn0Unj6JIX5lXwB_pMrsxx-g==&uniplatform=NZKPT&language=CHS,2024/6/28
67,空间再造与深度阅读：图书馆阅读推广空间研究,项姝珍,上海财经大学浙江学院图书馆,2021/7/10,图书馆理论与实践,信息科技,图书情报与数字图书馆,24,1021,深度阅读; 空间再造; 阅读推广; 智慧空间,"当前,阅读推广服务中深度阅读的缺失成为图书馆阅读服务急需改变的状态。图书馆在推进阅读服务的过程中,以阅读行为的四重空间为逻辑依据,利用现代技术再造智慧空间,充分改造馆内实体空间、建设虚拟空间和感知空间,为读者阅读提供沉浸式的场景、多元交互的体验、自动便捷的服务。这种多维立体的空间再造与运行需要图书馆培养技术与专业兼备的复合型馆员的参与,同时融合多种新媒体以实现无间断的交互服务,培养读者阅读智慧,实现读者与空间共生,从而推进阅读走向深入。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8U99d3SL86f2H5vbK3apbSVLgu21bcsovLo7Bg4wbtKcQxx4Qh0D4LNhELCNedtSNPZyz8Vxs0B5OjwbjPHGSxpb1vFEAHInCMB9QPNeNycWDvECkQ9_c0i4TVASIHHnXVm7lHBYjuo7w==&uniplatform=NZKPT&language=CHS,2024/6/28
68,新环境下高校图书馆的坚守和变革,鄂鹤年;田磊,南方科技大学图书馆,2021/7/10,图书情报知识,信息科技,图书情报与数字图书馆,4,553,高校图书馆; 图书馆变革; 第二次机器时代; 教育4.0; 人文主义,"[目的/意义]探讨颠覆性技术对高校图书馆的影响,以及在此背景下应采取的措施,为高校图书馆未来发展提供参照。[研究设计/方法]通过理论分析并结合具体案例,探讨第二次机器时代和教育4.0对图书馆的影响,指出高校图书馆当前的使命和变革的方向。[结论/发现]高校图书馆在坚守其本质的前提下,必须寻求在空间、文献资源、服务、技术四个维度的变革,向灵活性、特色化、智能化方向发展。[创新/价值]突出了图书馆对于个体成长的价值,并阐述了图书馆变革中技术的工具性和人文的本质性的关系。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WwCASfq7GzxEckWqQJzznbvLHNufHlkNpAdfGSJfmgJhlRp-d2lc-LBTvV7QpB1FsZQ7gvl1Yuiop__ASObIsXJ1MmhnPh0w3jxPamVebOpR6Jg-UDH0cHy0RwWRA28lFYRjt7ycQoiA==&uniplatform=NZKPT&language=CHS,2024/6/28
69,数字化背景下图书馆智慧服务模式探析,李晨;李雪萍,东华理工大学图书馆,2021/6/30,出版广角,信息科技,图书情报与数字图书馆,13,673,数字化; 图书馆; 智慧服务; 模式; 运行机制,"数字化时代,图书馆依托数字技术和服务设施,为图书馆智慧服务模式创新提供了保障。图书馆智慧服务具有多主体参与和全流程管理的特征,在运行过程中需注意服务能力和服务效率的提升,与此同时,搭建智能化平台和组建服务联盟有助于图书馆智慧服务的顺利开展。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XrzweQlCV-_OZV5t0TyUCJYkSKVVbVyFHt6HmNTq28wXwrZ6LlKFEKK0Uyqom-mY228y8ilWDtome-yMm1y-vWAPbk8_6BKs_vtaGvZOECDfFn8xOEs5_DOQSOccyWsiDqC9aVp9h6Ig==&uniplatform=NZKPT&language=CHS,2024/6/28
70,智能选书：图书馆精准采购实现策略,蔡迎春,上海外国语大学图书馆,2021/6/25,数字图书馆论坛,信息科技,图书情报与数字图书馆,8,768,智能时代; 文献资源建设; 纸电同步; 线上采购模式; 智能选书,"随着智能时代的到来,面对众多的资源类型和海量的书目数据,如何优化资源配置,如何精准选择图书,已经成为图书馆精准采购面临的问题和挑战。本文在分析目前纸电融合出版趋势、管理平台局限和采访技术传统的基础上,结合当前信息技术的发展和智能选书的演进,对图书馆精准采购的实现策略进行探讨,认为智能将全面赋能图书馆专业活动的变革发展,有力促进图书馆超越现有思维、持续自我更新、形成新型模式,图书馆应该通过纸电同采、深度学习技术和智能选书平台开发,助推图书馆传统采访工作的转型,使图书馆逐渐从传统图书馆、数字图书馆向智能图书馆过渡,最终向智慧图书馆迈进。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8U0MI7R6BgqBSm3MzeFHlkZFNRgJItQ9W2VHr3-Y3tJ_kQPYy8bLtgSZhDdDMIcMERHodAOiuHHp_f15mBlUycyKEP2nNL36oDu5KaOJAXh6Y8MvOhH5fPxP8M6xK_V3VAphSMSOpSg4g==&uniplatform=NZKPT&language=CHS,2024/6/28
